アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
ファンダメンタル　　　　　　　　　　　　ふぁんだめんたる　　　　　　　　　　　　,C  .     ,fundamental
ファンド　　　　　　　　　　　　　　　　ふぁんど　　　　　　　　　　　　　　　　,N 1.     ,資金
ファンドレイジング　　　　　　　　　　　ふぁんどれいじんぐ　　　　　　　　　　　,N 1.     ,資金調達
フィジタル　　　　　　　　　　　　　　　ふぃじたる　　　　　　　　　　　　　　　,N B.     ,フィジカル＋デジタル
フィッシング　　　　　　　　　　　　　　ふぃっしんぐ　　　　　　　　　　　　　　,N 1.     ,情報を盗み出す
Ｐｈｉｓｈｉｎｇ　　　　　　　　　　　　ふぃっしんぐ　　　　　　　　　　　　　　,N 1.     ,詐欺
フィルターバブル　　　　　　　　　　　　ふぃるたーばぶる　　　　　　　　　　　　,N 1.     ,悪情報環境
フィンテック　　　　　　　　　　　　　　ふぃんてっく　　　　　　　　　　　　　　,N 1.     ,ｆｉｎａｎｃｉａｌ　ｔｅｃｈｎｏｌｏｇｙ金融サービスと情報技術を結びつけ
ＶＲゴーグル　　　　　　　　　　　　　　ぶいあーるごーぐる　　　　　　　　　　　,N B.     ,VR（仮想現実）を体験できるゴーグル
ＶＲヘッドセット　　　　　　　　　　　　ぶいあーるへっどせっと　　　　　　　　　,N B.     ,VR（仮想現実）を体験できるヘッドセッ
ＶＲ酔い　　　　　　　　　　　　　　　　ぶいあーるよい　　　　　　　　　　　　　,N 1.     ,メタバース体験をしている時に、めまいや吐き気、不快感などの症状が起こる状態
ＶＦＸ　　　　　　　　　　　　　　　　　ぶいえふえっくす　　　　　　　　　　　　,N 1.     ,Ｖｉｓｕａｌ　Ｅｆｆｅｃｔｓ
ブイヤベース　　　　　　　　　　　　　　ぶいやべーす　　　　　　　　　　　　　　,N B.     ,ｂｏｕｉｌｌａｂａｉｓｓｅ魚介類の鍋
フーシ派　　　　　　　　　　　　　　　　ふーしは　　　　　　　　　　　　　　　　,N 4.     ,反シーア派
フードコート　　　　　　　　　　　　　　ふーどこーと　　　　　　　　　　　　　　,N 5.     ,軽飲食店が複数集まったスペース
フードバンク　　　　　　　　　　　　　　ふーどばんく　　　　　　　　　　　　　　,N 1.     ,食料提供
風評被害　　　　　　　　　　　　　　　　ふうひょうひがい　　　　　　　　　　　　,N 1.     ,
フェーズドアレイレーダー　　　　　　　　ふぇーずどあれいれーだー　　　　　　　　,N B.     ,Ｐｈａｓｅｄ　Ａｒｒａｙ　Ｒａｄａｒ
フェーズフリー　　　　　　　　　　　　　ふぇーずふりー　　　　　　　　　　　　　,N 1.     ,日常から非常時の備え
フェーン現象　　　　　　　　　　　　　　ふぇーんげんしょう　　　　　　　　　　　,N 1.     ,
フェイク　　　　　　　　　　　　　　　　ふぇいく　　　　　　　　　　　　　　　　,N 1.     ,fake
フェイクニュース　　　　　　　　　　　　ふぇいくにゅーす　　　　　　　　　　　　,N 1.     ,非事実情報
フェイクファー　　　　　　　　　　　　　ふぇいくふぁー　　　　　　　　　　　　　,N B.     ,
フェイクレザー　　　　　　　　　　　　　ふぇいくれざー　　　　　　　　　　　　　,N B.     ,
フェイスブック　　　　　　　　　　　　　ふぇいすぶっく　　　　　　　　　　　　　,N 1.     ,Ｆａｃｅｂｏｏｋ,ＳＮＳの一つ
フェス　　　　　　　　　　　　　　　　　ふぇす　　　　　　　　　　　　　　　　　,N 1.     ,フェスティバル
フェスタ　　　　　　　　　　　　　　　　ふぇすた　　　　　　　　　　　　　　　　,N 1.     ,フェスティバル
フェムテック　　　　　　　　　　　　　　ふぇむてっく　　　　　　　　　　　　　　,N B.     ,女性特有の健康課題を解決するための製品
フェムト秒レーザー　　　　　　　　　　　ふぇむとびょうれーざー　　　　　　　　　,N B.     ,フェムト秒（1000兆分の1秒）単位で発振される超短パルスレーザー
フェリチン　　　　　　　　　　　　　　　ふぇりちん　　　　　　　　　　　　　　　,N B.     ,鉄の貯蔵および血清鉄濃度の維持を行う蛋白質
火子鍋　　　　　　　　　　　　　　　　　ふぉーごーなべ　　　　　　　　　　　　　,N B.     ,
フォッサマグナ　　　　　　　　　　　　　ふぉっさまぐな　　　　　　　　　　　　　,N B.     ,
フォトジェニック　　　　　　　　　　　　ふぉとじぇにっく　　　　　　　　　　　　,N 1.     ,写真写 りの良い
フォルダ　　　　　　　　　　　　　　　　ふぉるだ　　　　　　　　　　　　　　　　,N B.     ,ファイルを分類して保存するための器
フォルマント　　　　　　　　　　　　　　ふぉるまんと　　　　　　　　　　　　　　,N B.     ,ｆｏｒｍａｎｔ音声の周波数スペクトルに現れる、周囲よりも強度が大きい周波数帯域
フォレンジック　　　　　　　　　　　　　ふぉれんじっく　　　　　　　　　　　　　,N 1.     ,forensic法的に有効な
フォロワー　　　　　　　　　　　　　　　ふぉろわー　　　　　　　　　　　　　　　,N 4.     ,購読する人
フォンデュー　　　　　　　　　　　　　　ふぉんでゅー　　　　　　　　　　　　　　,N B.     ,
賦課金　　　　　　　　　　　　　　　　　ふかきん　　　　　　　　　　　　　　　　,N B.     ,
付加体　　　　　　　　　　　　　　　　　ふかたい　　　　　　　　　　　　　　　　,N 7.     ,プレートティクトニクスでの話
不活性化ワクチン　　　　　　　　　　　　ふかっせいかわくちん　　　　　　　　　　,N B.     ,
深掘り　　　　　　　　　　　　　　　　　ふかぼり　　　　　　　　　　　　　　　　,N 1.     ,
腐朽菌　　　　　　　　　　　　　　　　　ふきゅうきん　　　　　　　　　　　　　　,N 1.     ,
福徳岡ノ場　　　　　　　　　　　　　　　ふくとくおかのば　　　　　　　　　　　　,N 5.     ,
副流煙　　　　　　　　　　　　　　　　　ふくりゅうえん　　　　　　　　　　　　　,N B.  N  ,
夫源病　　　　　　　　　　　　　　　　　ふげんびょう　　　　　　　　　　　　　　,N 1.     ,
ブサイク　　　　　　　　　　　　　　　　ぶさいく　　　　　　　　　　　　　　　　,C  .     ,
プシコース　　　　　　　　　　　　　　　ぷしこーす　　　　　　　　　　　　　　　,N B.     ,ｐｓｉｃｏｓｅ糖の一種
フジヒート　　　　　　　　　　　　　　　ふじひーと　　　　　　　　　　　　　　　,N B.     ,耐寒肌着
伏し目がち　　　　　　　　　　　　　　　ふしめがち　　　　　　　　　　　　　　　,C  .     ,
不審物　　　　　　　　　　　　　　　　　ふしんぶつ　　　　　　　　　　　　　　　,N B.     ,Ｓｕｓｐｉｃｉｏｕｓ　ｏｂｊｅｃｔ
豚熱　　　　　　　　　　　　　　　　　　ぶたねつ　　　　　　　　　　　　　　　　,N 1.     ,豚コレラ
豚バラ　　　　　　　　　　　　　　　　　ぶたばら　　　　　　　　　　　　　　　　,N B.     ,肉
ブチ切れする　　　　　　　　　　　　　　ぶちぎれする　　　　　　　　　　　　　　,D 4.  N  ,
ブチギレする　　　　　　　　　　　　　　ぶちぎれする　　　　　　　　　　　　　　,D 4.  N  ,
ぶっ壊れる　　　　　　　　　　　　　　　ぶっこわれる　　　　　　　　　　　　　　,D 1.  N  ,
ふてほど　　　　　　　　　　　　　　　　ふてほど　　　　　　　　　　　　　　　　,C  .     ,不適切
不登校　　　　　　　　　　　　　　　　　ふとうこう　　　　　　　　　　　　　　　,N 1.  N  ,
不凍タンパク質　　　　　　　　　　　　　ふとうたんぱくしつ　　　　　　　　　　　,N B.     ,
ふなっしー　　　　　　　　　　　　　　　ふなっしー　　　　　　　　　　　　　　　,N 4.     ,
不便益　　　　　　　　　　　　　　　　　ふべんえき　　　　　　　　　　　　　　　,N 1.     ,
富裕層　　　　　　　　　　　　　　　　　ふゆうそう　　　　　　　　　　　　　　　,N 4.     ,
冬晴れ　　　　　　　　　　　　　　　　　ふゆばれ　　　　　　　　　　　　　　　　,C 1.  P  ,
不要不急　　　　　　　　　　　　　　　　ふようふきゅう　　　　　　　　　　　　　,C  .  P  ,
フラーレン　　　　　　　　　　　　　　　ふらーれん　　　　　　　　　　　　　　　,N B.     ,ｆｕｌｌｅｒｅｎｅ閉殻空洞状の多数の炭素原子のみで構成される、クラスターの総称
フライ・バイ・ワイヤ　　　　　　　　　　ふらい・ばい・わいや　　　　　　　　　　,N 1.     ,ｆｌｙ－ｂｙ－ｗｉｒｅ航空機等の操縦・飛行制御システム
フライトシミュレーター　　　　　　　　　ふらいとしみゅれーたー　　　　　　　　　,N B.     ,
フライドポテト　　　　　　　　　　　　　ふらいどぽてと　　　　　　　　　　　　　,N B.     ,
フライトレコーダー　　　　　　　　　　　ふらいとれこーだー　　　　　　　　　　　,N B.     ,
プライベートブランド　　　　　　　　　　ぷらいべーとぶらんど　　　　　　　　　　,N B.     ,独自商品
フライヤー　　　　　　　　　　　　　　　ふらいやー　　　　　　　　　　　　　　　,N B.     ,
フラジャイル　　　　　　　　　　　　　　ふらじゃいる　　　　　　　　　　　　　　,C  .  N  ,虚弱な
プラス思考　　　　　　　　　　　　　　　ぷらすしこう　　　　　　　　　　　　　　,N 1.  P  ,
プラズマローゲン　　　　　　　　　　　　ぷらずまろーげん　　　　　　　　　　　　,N 1.     ,Ｐｌａｓｍａｌｏｇｅｎエーテルリン脂質の1種。枝分れのあるアルコール
プラズモン　　　　　　　　　　　　　　　ぷらずもん　　　　　　　　　　　　　　　,N B.     ,金属中の自由電子によるプラズマ振動の量子
プラズモン共鳴　　　　　　　　　　　　　ぷらずもんきょうめい　　　　　　　　　　,N B.     ,
プラセボ　　　　　　　　　　　　　　　　ぷらせぼ　　　　　　　　　　　　　　　　,N B.     ,偽薬
ブラックアウト　　　　　　　　　　　　　ぶらっくあうと　　　　　　　　　　　　　,N 1.     ,blackout
ブラック案件　　　　　　　　　　　　　　ぶらっくあんけん　　　　　　　　　　　　,N 1.  N  ,非合法的案件
ブラック企業　　　　　　　　　　　　　　ぶらっくきぎょう　　　　　　　　　　　　,N 5.  N  ,
ブラックホールの合体　　　　　　　　　　ぶらっくほーるのがったい　　　　　　　　,N 1.     ,
フラッシュオーバー　　　　　　　　　　　ふらっしゅおーばー　　　　　　　　　　　,N 1.     ,爆発的な延焼
フラッシュマブ　　　　　　　　　　　　　ふらっしゅまぶ　　　　　　　　　　　　　,N 1.     ,
フラッシュモブ　　　　　　　　　　　　　ふらっしゅもぶ　　　　　　　　　　　　　,N 1.     ,ｆｌａｓｈ　ｍｏｂ公共の場に集まり前触れなく突如としてのパフォーマンス
フラッシュラグ　　　　　　　　　　　　　ふらっしゅらぐ　　　　　　　　　　　　　,N 1.     ,ｆｌａｓｈ－ｌａｇ一瞬点灯すると、出現よりも時間的に先に進んだ位置に知覚される錯覚
プラットフォーマー　　　　　　　　　　　ぷらっとふぉーまー　　　　　　　　　　　,N 5.     ,通信基盤を整えて提供する業者
プラネット　　　　　　　　　　　　　　　ぷらねっと　　　　　　　　　　　　　　　,N B.     ,
プラネット・ダイナソー　　　　　　　　　ぷらねっと・だいなそー　　　　　　　　　,N B.     ,Ｐｌａｎｅｔ　Ｄｉｎｏｓａｕｒ恐竜を題材とする六部作のドキュメンタリー番組
フラリーマン　　　　　　　　　　　　　　ふらりーまん　　　　　　　　　　　　　　,N 4.     ,
プラントオパール　　　　　　　　　　　　ぷらんとおぱーる　　　　　　　　　　　　,N B.     ,ｐｌａｎｔ　ｏｐａｌ植物の細胞組織に充填する非結晶含水珪酸体
フリーアドレス　　　　　　　　　　　　　ふりーあどれす　　　　　　　　　　　　　,N 1.     ,自由な席で仕事をする
フリースクール　　　　　　　　　　　　　ふりーすくーる　　　　　　　　　　　　　,N 1.     ,
ブリーチ　　　　　　　　　　　　　　　　ぶりーち　　　　　　　　　　　　　　　　,N 1.     ,髪の毛の色素を抜くこと
フリーマーケット　　　　　　　　　　　　ふりーまーけっと　　　　　　　　　　　　,N 5.     ,
フリーランス　　　　　　　　　　　　　　ふりーらんす　　　　　　　　　　　　　　,N 4.     ,ｆｒｅｅｌａｎｃｅ業務に応じて企業や団体と自由に契約を交わし働く人
ＢＲＩＣＳ　　　　　　　　　　　　　　　ぶりっくす　　　　　　　　　　　　　　　,N 5.     ,ブラジル、ロシア、インド、中国、南アフリカ、イラン、エジプト、アラブ首長国連邦、エチオピア、インドネシア
フリッジ　　　　　　　　　　　　　　　　ふりっじ　　　　　　　　　　　　　　　　,N B.     ,冷蔵庫
フリマ　　　　　　　　　　　　　　　　　ふりま　　　　　　　　　　　　　　　　　,N 5.     ,蚤の市
フリマアプリ　　　　　　　　　　　　　　ふりまあぷり　　　　　　　　　　　　　　,N 1.     ,フリマアプリは、オンライン上にて主に個人間による物品の売買を行えるのアプリ
ブルーカーボン　　　　　　　　　　　　　ぶるーかーぼん　　　　　　　　　　　　　,N B.     ,海洋生態系に隔離・貯留される炭素
ブルートゥース　　　　　　　　　　　　　ぶるーとぅーす　　　　　　　　　　　　　,N B.     ,Ｂｌｕｅｔｏｏｔｈ近距離の無線通信規格
プルームテクトニクス　　　　　　　　　　ぷるーむてくとにくす　　　　　　　　　　,N 1.     ,ｐｌｕｍｅ　ｔｅｃｔｏｎｉｃｓ,地殻運動
ブルーレイ　　　　　　　　　　　　　　　ぶるーれい　　　　　　　　　　　　　　　,N B.     ,Ｂｌｕ－ｒａｙ　Ｄｉｓｃ
フルオライド　　　　　　　　　　　　　　ふるおらいど　　　　　　　　　　　　　　,N B.     ,フッ素イオン
プルサーマル　　　　　　　　　　　　　　ぷるさーまる　　　　　　　　　　　　　　,N B.     ,燃え残りのウランとプルトニウムを取り出して作った燃料
ふるさと納税　　　　　　　　　　　　　　ふるさとのうぜい　　　　　　　　　　　　,N 1.     ,
ブルゾン　　　　　　　　　　　　　　　　ぶるぞん　　　　　　　　　　　　　　　　,N B.     ,ジャンパー着丈の短い上着
プルタブ　　　　　　　　　　　　　　　　ぷるたぶ　　　　　　　　　　　　　　　　,N B.     ,缶の飲み口
フルフィルメント　　　　　　　　　　　　ふるふぃるめんと　　　　　　　　　　　　,N 1.     ,小売業の業務過程全般
フルミスト　　　　　　　　　　　　　　　ふるみすと　　　　　　　　　　　　　　　,N 4.     ,鼻腔内に噴霧
ブレイキン　　　　　　　　　　　　　　　ぶれいきん　　　　　　　　　　　　　　　,N 1.     ,ダンススポーツ
ブレイクスルー　　　　　　　　　　　　　ぶれいくするー　　　　　　　　　　　　　,N 1.     ,
フレイル　　　　　　　　　　　　　　　　ふれいる　　　　　　　　　　　　　　　　,N 1.     ,ｆｌａｉｌ心身が老い衰えた状態
ブレーキングする　　　　　　　　　　　　ぶれーきんぐする　　　　　　　　　　　　,N 1.     ,
プレートコンパクター　　　　　　　　　　ぷれーとこんぱくたー　　　　　　　　　　,N B.     ,砂や砂利、アスファルトなどを押して締め固める機械
プレートテクトニクス　　　　　　　　　　ぷれーとてくとにくす　　　　　　　　　　,N 1.     ,ｐｌａｔｅ　ｔｅｃｔｏｎｉｃｓ,地殻運動
フレーミング　　　　　　　　　　　　　　ふれーみんぐ　　　　　　　　　　　　　　,N 1.     ,枠組みによって印象が変わる効果
ブレグジット　　　　　　　　　　　　　　ぶれぐじっと　　　　　　　　　　　　　　,N 1.     ,Ｂｒｅｘｉｔ,英国のEU離脱
Ｂｒｅｘｉｔ　　　　　　　　　　　　　　ぶれぐじっと　　　　　　　　　　　　　　,N 1.     ,英国のEU離脱
フレグランス　　　　　　　　　　　　　　ふれぐらんす　　　　　　　　　　　　　　,N B.  P  ,芳香性製品
プレコン　　　　　　　　　　　　　　　　ぷれこん　　　　　　　　　　　　　　　　,N 1.     ,将来のライフプランを考えて、日々の生活や健康と向き合う
プレシジョンメディシン　　　　　　　　　ぷれしじょんめでぃしん　　　　　　　　　,N B.     ,Ｐｒｅｃｉｓｉｏｎ　Ｍｅｄｉｃｉｎｅ遺伝子レベルでがんを解析し、そのがんにあった治療
プレジャー　　　　　　　　　　　　　　　ぷれじゃー　　　　　　　　　　　　　　　,N 1.  P  ,pleisure,娯楽
プレッパー　　　　　　　　　　　　　　　ぷれっぱー　　　　　　　　　　　　　　　,N 1.     ,ｐｒｅｐｐｅｒ生存術や物資の備蓄、避難訓練などに日常的に取り組み
プレディター　　　　　　　　　　　　　　ぷれでぃたー　　　　　　　　　　　　　　,N 1.     ,肉食動物
フロー　　　　　　　　　　　　　　　　　ふろー　　　　　　　　　　　　　　　　　,N 1.     ,流れ
フロー体験　　　　　　　　　　　　　　　ふろーたいけん　　　　　　　　　　　　　,N 1.     ,没頭
プローブ　　　　　　　　　　　　　　　　ぷろーぶ　　　　　　　　　　　　　　　　,N B.     ,探針
ブロガー　　　　　　　　　　　　　　　　ぶろがー　　　　　　　　　　　　　　　　,N 4.     ,
プロキシマ　　　　　　　　　　　　　　　ぷろきしま　　　　　　　　　　　　　　　,N B.     ,
プロキシマケンタウルス　　　　　　　　　ぷろきしまけんたうるす　　　　　　　　　,N B.     ,
プロキシマｂ　　　　　　　　　　　　　　ぷろきしまびー　　　　　　　　　　　　　,N B.     ,Ｐｒｏｘｉｍａ　ｂ形骸衛星
ブログ　　　　　　　　　　　　　　　　　ぶろぐ　　　　　　　　　　　　　　　　　,N 1.     ,ｂｌｏｇ
プログラマブル・ロジック・コントローラ　ぷろぐらまぶる・ろじっく・こんとろーら　,N B.     ,ｐｒｏｇｒａｍｍａｂｌｅ　ｌｏｇｉｃ　ｃｏｎｔｒｏｌｌｅｒ
プロゲーマー　　　　　　　　　　　　　　ぷろげーまー　　　　　　　　　　　　　　,N 4.     ,
プロジェクションサイエンス　　　　　　　ぷろじぇくしょんさいえんす　　　　　　　,N 1.     ,科学の樹立
プロジェクションマッピング　　　　　　　ぷろじぇくしょんまっぴんぐ　　　　　　　,N B.     ,Ｐｒｏｊｅｃｔｉｏｎ　Ｍａｐｐｉｎｇ立体物にCGなどの映像を投影する技術
ブロックチェーン　　　　　　　　　　　　ぶろっくちぇーん　　　　　　　　　　　　,N 1.     ,ｂｌｏｃｋ　ｃｈａｉｎ
ブロッケン　　　　　　　　　　　　　　　ぶろっけん　　　　　　　　　　　　　　　,N 1.     ,
プロテウス　　　　　　　　　　　　　　　ぷろてうす　　　　　　　　　　　　　　　,N 1.     ,見た目が、行動特性や外向性に影響を与える
プロパー　　　　　　　　　　　　　　　　ぷろぱー　　　　　　　　　　　　　　　　,C  .     ,生え抜き
プロバイオティクス　　　　　　　　　　　ぷろばいおてぃくす　　　　　　　　　　　,N B.     ,人体に良い影響を与える微生物を含む食品
プロフ　　　　　　　　　　　　　　　　　ぷろふ　　　　　　　　　　　　　　　　　,N 1.     ,プロフィール
プロボノ　　　　　　　　　　　　　　　　ぷろぼの　　　　　　　　　　　　　　　　,N 1.     ,職務上の技術を生かした社会活動
プロメテウス　　　　　　　　　　　　　　ぷろめてうす　　　　　　　　　　　　　　,N B.     ,
分刻み　　　　　　　　　　　　　　　　　ふんきざみ　　　　　　　　　　　　　　　,C  .     ,
分散コンピューティング　　　　　　　　　ぶんさんこんぴゅーてぃんぐ　　　　　　　,N 1.     ,ｄｉｓｔｒｉｂｕｔｅｄ　ｃｏｍｐｕｔｉｎｇ
分子型擬態　　　　　　　　　　　　　　　ぶんしがたきたい　　　　　　　　　　　　,N 1.     ,無毒な種が有毒な種に紋様を似せて捕食から逃れる
分子標的薬　　　　　　　　　　　　　　　ぶんしひょうてきやく　　　　　　　　　　,N B.     ,Ｍｏｌｅｃｕｌａｒ　ｔａｒｇｅｔｅｄ　ｄｒｕｇｓある特定の分子を標的として、その機能を制御することにより治療する療法
分子マシン　　　　　　　　　　　　　　　ぶんしましん　　　　　　　　　　　　　　,N B.     ,ｍｏｌｅｃｕｌａｒ　ｍａｃｈｉｎｅナノスケールで制御された機械的動きを起こす分子
噴石　　　　　　　　　　　　　　　　　　ふんせき　　　　　　　　　　　　　　　　,N B.     ,
噴飯物　　　　　　　　　　　　　　　　　ふんぱんもの　　　　　　　　　　　　　　,N B.  N  ,
ヘアドネーション　　　　　　　　　　　　へあどねーしょん　　　　　　　　　　　　,N 1.     ,髪の毛を寄付
ペアリングする　　　　　　　　　　　　　ぺありんぐする　　　　　　　　　　　　　,D 4.     ,組み合わせること
ペアレンタルコントロール　　　　　　　　ぺあれんたるこんとろーる　　　　　　　　,N 1.     ,保護者がネット環境を整える
米韓　　　　　　　　　　　　　　　　　　べいかん　　　　　　　　　　　　　　　　,N 7.     ,
米中　　　　　　　　　　　　　　　　　　べいちゅう　　　　　　　　　　　　　　　,N 7.     ,
ベイツ型擬態　　　　　　　　　　　　　　べいつがたきたい　　　　　　　　　　　　,N 1.     ,
ヘイトクライム　　　　　　　　　　　　　へいとくらいむ　　　　　　　　　　　　　,N 1.  N  ,偏見によって行 われる犯罪
ヘイトスピーチ　　　　　　　　　　　　　へいとすぴーち　　　　　　　　　　　　　,N 1.  N  ,敵意のあるスピーチ
ペイペイ　　　　　　　　　　　　　　　　ぺいぺい　　　　　　　　　　　　　　　　,N 1.     ,スマホの決済サービス
ペインクリニック　　　　　　　　　　　　ぺいんくりにっく　　　　　　　　　　　　,N 1.     ,Ｐａｉｎ　ｃｌｉｎｉｃ
ベーグル　　　　　　　　　　　　　　　　べーぐる　　　　　　　　　　　　　　　　,N B.     ,パンの一種
ベーシックインカム　　　　　　　　　　　べーしっくいんかむ　　　　　　　　　　　,N 1.     ,基本的所得
ベクレル　　　　　　　　　　　　　　　　べくれる　　　　　　　　　　　　　　　　,N 1.     ,ｂｅｃｑｕｅｒｅｌ
ヘコむ　　　　　　　　　　　　　　　　　へこむ　　　　　　　　　　　　　　　　　,D M.  N  ,
ベジタリアン　　　　　　　　　　　　　　べじたりあん　　　　　　　　　　　　　　,N 4.     ,
ヘジャブ　　　　　　　　　　　　　　　　へじゃぶ　　　　　　　　　　　　　　　　,N B.     ,イスラム教徒の女性が人前で髪を隠すのに用いるスカーフ
ベッカム型擬態　　　　　　　　　　　　　べっかむがたきたい　　　　　　　　　　　,N 1.     ,
へっちゃら　　　　　　　　　　　　　　　へっちゃら　　　　　　　　　　　　　　　,C  .     ,
ＰＥＴ－ＣＴ　　　　　　　　　　　　　　ぺっとしーてぃー　　　　　　　　　　　　,N 1.     ,放射能を含む薬剤を用いる、核医学検査
ヘッドセット　　　　　　　　　　　　　　へっどせっと　　　　　　　　　　　　　　,N B.     ,
ペットロス　　　　　　　　　　　　　　　ぺっとろす　　　　　　　　　　　　　　　,N 1.  N  ,症候群
ペッパーソース　　　　　　　　　　　　　ぺっぱーそーす　　　　　　　　　　　　　,N B.     ,タバスコ
ペデストリアン　　　　　　　　　　　　　ぺですとりあん　　　　　　　　　　　　　,N 4.     ,歩行者
ベテルギウス　　　　　　　　　　　　　　べてるぎうす　　　　　　　　　　　　　　,N B.     ,
ペトログリフ　　　　　　　　　　　　　　ぺとろぐりふ　　　　　　　　　　　　　　,N B.     ,文字が刻まれた彫刻
ペネトレーション　　　　　　　　　　　　ぺねとれーしょん　　　　　　　　　　　　,N 1.     ,システム侵入
ベネフィット　　　　　　　　　　　　　　べねふぃっと　　　　　　　　　　　　　　,N 1.     ,Benefit利益
ベバシズマブ　　　　　　　　　　　　　　べばしずまぶ　　　　　　　　　　　　　　,N 1.     ,Ｂｅｖａｃｉｚｕｍａｂ血管新生を抑えたり腫瘍の増殖や転移を抑えたりする作用を持つ。分子標的治療薬
ペプチド　　　　　　　　　　　　　　　　ぺぷちど　　　　　　　　　　　　　　　　,N B.     ,
ペペロンチーノ　　　　　　　　　　　　　ぺぺろんちーの　　　　　　　　　　　　　,N B.     ,
ベルガモット　　　　　　　　　　　　　　べるがもっと　　　　　　　　　　　　　　,N B.     ,ハーブ
ペルチェ　　　　　　　　　　　　　　　　ぺるちぇ　　　　　　　　　　　　　　　　,N 1.     ,電流を流すと、熱の吸収・放出
ヘルパンギーナ　　　　　　　　　　　　　へるぱんぎーな　　　　　　　　　　　　　,N 1.  N  ,
ヘルプマーク　　　　　　　　　　　　　　へるぷまーく　　　　　　　　　　　　　　,N B.     ,周りに配慮を必要なことを知らせるピクトグラム
ペロブスカイト　　　　　　　　　　　　　ぺろぶすかいと　　　　　　　　　　　　　,N B.     ,太陽光発電
変顔　　　　　　　　　　　　　　　　　　へんがお　　　　　　　　　　　　　　　　,N 1.     ,
ペンテスター　　　　　　　　　　　　　　ぺんてすたー　　　　　　　　　　　　　　,N 1.     ,侵入テスト
返礼品　　　　　　　　　　　　　　　　　へんれいひん　　　　　　　　　　　　　　,N B.     ,
ポイ活　　　　　　　　　　　　　　　　　ぽいかつ　　　　　　　　　　　　　　　　,N 1.     ,ポイント生活
回鍋肉　　　　　　　　　　　　　　　　　ほいこーろー　　　　　　　　　　　　　　,N B.     ,四川料理の一つ。キャベツと豚肉を炒め
ポイズンピル　　　　　　　　　　　　　　ぽいずんぴる　　　　　　　　　　　　　　,N B.     ,買収防衛策
放線菌　　　　　　　　　　　　　　　　　ほうせんきん　　　　　　　　　　　　　　,N B.     ,グラム陽性の細菌のうち、細胞が菌糸を形成して細長く増殖する形態的特徴を示すものを指す
放蕩三昧　　　　　　　　　　　　　　　　ほうとうざんまい　　　　　　　　　　　　,C  .  N  ,
暴風雪　　　　　　　　　　　　　　　　　ぼうふうせつ　　　　　　　　　　　　　　,N B.     ,
訪問盗　　　　　　　　　　　　　　　　　ほうもんとう　　　　　　　　　　　　　　,N 1.     ,
ほうれい線　　　　　　　　　　　　　　　ほうれいせん　　　　　　　　　　　　　　,N B.     ,
ボーズ＝アインシュタイン凝縮　　　　　　ぼーずあいんしゅたいんぎょうしゅく　　　,N 1.     ,ＢＥＣ
ポータルサイト　　　　　　　　　　　　　ぽーたるさいと　　　　　　　　　　　　　,N 1.     ,ｐｏｒｔａｌ　ｓｉｔｅ
ポートタワー　　　　　　　　　　　　　　ぽーとたわー　　　　　　　　　　　　　　,N 5.     ,	千葉
ポケットティッシュ　　　　　　　　　　　ぽけっとてぃっしゅ　　　　　　　　　　　,N B.     ,
ポケモンｇｏ　　　　　　　　　　　　　　ぽけもんごー　　　　　　　　　　　　　　,N 1.     ,
母語帰りする　　　　　　　　　　　　　　ぼごがえりする　　　　　　　　　　　　　,D 4.     ,
ホコ天　　　　　　　　　　　　　　　　　ほこてん　　　　　　　　　　　　　　　　,N 7.     ,ｐｅｄｅｓｔｒｉａｎ　ｚｏｎｅ
ＰＯＳＡ　　　　　　　　　　　　　　　　ぽさかーど　　　　　　　　　　　　　　　,N B.     ,ＰＯＳＡカード
星勘定　　　　　　　　　　　　　　　　　ほしかんじょう　　　　　　　　　　　　　,N 1.     ,
ホストタウン　　　　　　　　　　　　　　ほすとたうん　　　　　　　　　　　　　　,N 1.     ,
ポストトゥルース　　　　　　　　　　　　ぽすととぅるーす　　　　　　　　　　　　,N 1.     ,脱真実
ホスピス　　　　　　　　　　　　　　　　ほすぴす　　　　　　　　　　　　　　　　,N 5.     ,緩和ケア病棟
ポスピタリティー　　　　　　　　　　　　ぽすぴたりてぃー　　　　　　　　　　　　,N 1.     ,手厚いもてなし
ボタニカル　　　　　　　　　　　　　　　ぼたにかる　　　　　　　　　　　　　　　,C  .     ,植物
掘っ立て小屋　　　　　　　　　　　　　　ほったてごや　　　　　　　　　　　　　　,N 7.     ,
ボッチャ　　　　　　　　　　　　　　　　ぼっちゃ　　　　　　　　　　　　　　　　,N 1.     ,
ボット　　　　　　　　　　　　　　　　　ぼっと　　　　　　　　　　　　　　　　　,N 1.  N  ,ｂｏｔコンピュータを外部から遠隔操作するためのコンピュータウイルス
ホットカーペット　　　　　　　　　　　　ほっとかーぺっと　　　　　　　　　　　　,N B.     ,
ポットキャスト　　　　　　　　　　　　　ぽっときゃすと　　　　　　　　　　　　　,N 1.     ,インターネットを通じて配信される音声番組
ホットペッパー　　　　　　　　　　　　　ほっとぺっぱー　　　　　　　　　　　　　,N B.     ,
